# TBS English overlay identities derived from the ROM location-name resolver, not source filenames.
# Scene indices 0..200: 08029094 bounds the selector; 0808ab48 loads record[scene].resource_id from 0809f1a8.
# Name rules: 0808a5d0 -> 0808b158 scans 0809ddd8 in order. Bit 15 selects scene instead of group; low 15 bits select entry or 0x7fff wildcard.
# Menu_DrawSelectionRow adds 0x99b to the matched result. Message IDs refer to assets/text/message_archive.json.
# All matching entry-specific titles are included; reachability of every entry was not tested in an emulator. No-match title-screen fallback is excluded.
# English display names are identification evidence, not proposed Japanese source filenames. Scene indices are not graphics-map indices.
# Existing source names are not evidence: resource_39d is Mercury Lighthouse, 3b2 Crossbone Isle, and 3bf Lunpa Fortress; 39e is shared Fuchin/Xian/Lama interior code.
resource_id	locations	role	scene_ids	name_message_ids	evidence	atlas_destination
resource_3ad	West Lunpa Cave	area	106	0x9d1	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/RUNPA_DOU
resource_3ae	Tolbi Docks; Kalay Docks	area	107,108,112	0x9d2,0x9d3,0x9d5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/COMMON/KAREI_TOREBI
resource_3af	Tolbi-bound Ship	area	109	0x9d4	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/FUNE_KANPAN
resource_3b0	Tolbi-bound Ship	area	110	0x9d4	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/FUNE_HOBASHIRA
resource_3b1	Tolbi-bound Ship	area	111	0x9d4	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/FUNE_HEYA
resource_3b2	Crossbone Isle; Pirate Ship; Crossbone Isle Cave	area	113,114,123,124,125,126,127,128,129,130,131,132,133,134	0x9d6,0x9d7,0x9d8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TAKARA_SHIMA
resource_3b3	Crossbone Isle Cave	area	115,116,119,121,122	0x9d8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TAKARA_HASHIRA
resource_3b4	Crossbone Isle Cave	area	117,118,120	0x9d8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TAKARA_ASHIBA
resource_3b5	Tolbi	area	135	0x9da	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TOREBI_MACHI
resource_3b6	Tolbi Sanctum; Tolbi	area	136	0x9d9,0x9da	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TOREBI_HEYA
resource_3b7	Tolbi; Tolbi Spring	area	137,189	0x9da,0x9fb	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TOREBI_IZUMI
resource_3b8	Babi's Palace	area	138,139	0x9db	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TOREBI_KYUDEN
resource_3b9	Colosseum Tunnel; Colosseum Entrance; Colosseum	area	140,141,142	0x9dc,0x9dd,0x9de,0x9df	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KORASHIAMU_IRIGUCHI
resource_3ba	Colosseum Final 1	area	143	0x9e0	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KOROSSEO_KAWA
resource_3bb	Colosseum Final 2	area	144	0x9e1	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KOROSSEO_KABE
resource_3bc	Colosseum Final 3	area	145	0x9e2	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KOROSSEO_MARUTA
resource_3bd	Altmiller Cave	area	146,147,148,149,150,151	0x9e3	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/ARUTAMIRA_DOU
resource_3be	Gondowan Passage; Gondowan Cave	area	152,157,158	0x9e4,0x9e7	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KARAGORU_DOU
resource_3bf	Lunpa Fortress	area	160,161,162,163	0x9e9	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/LUNPA_FORTRESS
resource_3c0	Suhalla Desert	area	164,165,166	0x9ea	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SUHARA_SABAKU
resource_3c1	Suhalla	area	167	0x9ec	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SUHARA_MURA
resource_3c2	Suhalla Sanctum; Suhalla	area	168	0x9eb,0x9ec	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SUHARA_HEYA
resource_3c3	Gateway Cave; Suhalla Gate	area	169,170,171	0x9ed,0x9ee	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SUHARA_GATE
resource_3c4	Babi Lighthouse; Tunnel Ruins	area	172,173	0x9ef,0x9f0	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/BABI_CHIKA
resource_3c5	Babi Lighthouse Entry; Road to Babi Lighthouse; Babi Lighthouse	area	174,175,176,177	0x9f1,0x9f2,0x9f3	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/BABI_IRIGUCHI
resource_3c6	Lalivero	area	178	0x9f5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/RARIBERO_MACHI
resource_3c7	Lalivero Sanctum; Lalivero	area	179,180	0x9f4,0x9f5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/RARIBERO_HEYA
resource_3c8	Venus Lighthouse; Venus Lighthouse Entry	area	181,182,183,184,185,186	0x9f6,0x9f7,0x9f9	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/VINASU_HEYA
resource_3c9	Lighthouse Aerie	area	187	0x9f8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/VINASU_CHOJO
resource_3ca	Lemurian ship	area	188	0x9fa	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/BABI_FUNE
resource_3cb	Lobby	link_lobby	190	0x9fc	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/MENU/LINK_LOBBY
resource_3cc	Test 0; Test 1; Test 2; Test 3; Test 4; Test 5; Test 6; Test 7	test_maps	191,192,193,194,195,196,197,198	0x9fd,0x9fe,0x9ff,0xa00,0xa01,0xa02,0xa03,0xa04	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/DEBUG/TEST_ROOMS
resource_3cd	Increase item and level	debug_items	199	0xa05	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/DEBUG/ITEM_LEVEL
resource_3ce	Menu test	debug_menu	200	0xa06	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/DEBUG/MENU_TEST
