# SMSH 12-byte voice records. Rhythm-table targets remain named by table offset until decoded.
program	kind	fixed_pitch	key	length	pan_sweep	source	attack	decay	sustain	release
57	pcm	false	60	0	0	direct_sound_samples/sample_048.pcm8.wav	255	0	255	204
58	pcm	false	60	0	0	direct_sound_samples/sample_049.pcm8.wav	255	0	255	204
59	pcm	false	60	0	0	direct_sound_samples/sample_050.pcm8.wav	255	188	154	226
60	pcm	false	60	0	0	direct_sound_samples/sample_016.pcm8.wav	64	232	0	232
61	pcm	false	60	0	0	direct_sound_samples/sample_016.pcm8.wav	64	232	0	195
62	pcm	false	60	0	0	direct_sound_samples/sample_016.pcm8.wav	64	232	0	0
63	pcm	false	60	0	0	direct_sound_samples/sample_016.pcm8.wav	64	0	255	0
64	pcm	false	60	0	0	direct_sound_samples/sample_015.pcm8.wav	64	0	255	0
65	pcm	false	60	0	0	direct_sound_samples/sample_015.pcm8.wav	64	232	0	232
66	pcm	false	60	0	0	direct_sound_samples/sample_015.pcm8.wav	64	232	0	195
67	pcm	false	60	0	0	direct_sound_samples/sample_014.pcm8.wav	64	232	0	0
68	pcm	false	60	0	0	direct_sound_samples/sample_015.pcm8.wav	64	0	255	0
69	pcm	false	60	0	0	direct_sound_samples/sample_014.pcm8.wav	64	0	255	0
70	pcm	false	60	0	0	direct_sound_samples/sample_051.pcm8.wav	255	0	255	204
71	pcm	false	60	0	0	direct_sound_samples/sample_052.pcm8.wav	255	242	28	165
72	pcm	false	60	0	0	direct_sound_samples/sample_053.pcm8.wav	255	0	255	226
73	pulse_1	false	60	0	0	2	0	0	15	0
74	pulse_1	false	60	0	0	2	0	0	15	0
75	pulse_1	false	60	0	0	2	0	0	15	0
76	pulse_1	false	60	0	0	2	0	0	15	0
77	pulse_1	false	60	0	0	2	0	0	15	0
78	pulse_1	false	60	0	0	2	0	0	15	0
79	pulse_1	false	60	0	0	2	0	0	15	0
80	pulse_1	true	60	0	0	0	0	6	0	3
81	pulse_1	false	60	0	0	2	0	0	15	0
82	pulse_1	false	60	0	0	2	0	0	15	0
83	pulse_1	false	60	0	0	2	0	0	15	0
84	pulse_1	false	60	0	0	2	0	0	15	0
85	pulse_1	false	60	0	0	2	0	0	15	0
86	pulse_1	false	60	0	0	2	0	0	15	0
87	pulse_1	false	60	0	0	2	0	0	15	0
88	pulse_1	false	60	0	0	2	0	0	15	0
89	pulse_1	false	60	0	0	2	0	0	15	0
90	pcm	false	60	0	0	direct_sound_samples/sample_054.pcm8.wav	255	0	255	226
91	pulse_1	false	60	0	0	2	0	0	15	0
92	pcm	false	60	0	0	direct_sound_samples/sample_055.pcm8.wav	255	0	255	226
93	pcm	false	60	0	0	direct_sound_samples/sample_056.pcm8.wav	255	0	255	226
94	pcm	false	60	0	0	direct_sound_samples/sample_057.pcm8.wav	255	0	255	226
95	pulse_1	false	60	0	0	2	0	0	15	0
96	pcm	false	60	0	0	direct_sound_samples/sample_058.pcm8.wav	255	0	255	226
97	pcm	false	60	0	0	direct_sound_samples/sample_059.pcm8.wav	255	0	255	226
98	pcm	false	60	0	0	direct_sound_samples/sample_060.pcm8.wav	255	0	255	226
99	pcm	false	60	0	0	direct_sound_samples/sample_061.pcm8.wav	255	0	255	226
100	pcm	false	60	0	0	direct_sound_samples/sample_062.pcm8.wav	255	0	255	226
101	pcm	false	60	0	0	direct_sound_samples/sample_063.pcm8.wav	255	0	255	226
102	pcm	false	60	0	0	direct_sound_samples/sample_064.pcm8.wav	255	0	255	226
103	pulse_1	false	60	0	0	2	0	0	15	0
104	pulse_1	false	60	0	0	2	0	0	15	0
105	pcm	false	60	0	0	direct_sound_samples/sample_061.pcm8.wav	255	0	255	0
106	pcm	false	60	0	0	direct_sound_samples/sample_061.pcm8.wav	255	0	255	204
107	pcm	false	60	0	0	direct_sound_samples/sample_061.pcm8.wav	255	0	255	226
108	pcm	false	60	0	0	direct_sound_samples/sample_065.pcm8.wav	255	0	255	0
109	pcm	false	60	0	0	direct_sound_samples/sample_065.pcm8.wav	255	0	255	204
110	pcm	false	60	0	0	direct_sound_samples/sample_065.pcm8.wav	255	0	255	226
111	pcm	false	60	0	0	direct_sound_samples/sample_066.pcm8.wav	255	0	255	226
112	pcm	false	60	0	0	direct_sound_samples/sample_067.pcm8.wav	255	0	255	226
113	pcm	false	60	0	0	direct_sound_samples/sample_068.pcm8.wav	255	0	255	226
114	pcm	false	60	0	0	direct_sound_samples/sample_069.pcm8.wav	255	0	255	226
115	pcm	false	60	0	0	direct_sound_samples/sample_070.pcm8.wav	255	0	255	226
116	pulse_1	false	60	0	0	2	0	0	15	0
117	pcm	false	60	0	0	direct_sound_samples/sample_071.pcm8.wav	255	0	255	226
118	pcm	false	60	0	0	direct_sound_samples/sample_072.pcm8.wav	255	0	255	226
119	pcm	false	60	0	0	direct_sound_samples/sample_073.pcm8.wav	255	0	255	226
120	pulse_1	false	60	0	0	2	0	0	15	0
121	pulse_1	false	60	0	0	2	0	0	15	0
122	pcm	false	60	0	0	direct_sound_samples/sample_074.pcm8.wav	255	0	255	226
123	pcm	false	60	0	0	direct_sound_samples/sample_075.pcm8.wav	128	0	255	226
