# SMSH 12-byte voice records. Rhythm-table targets remain named by table offset until decoded.
program	kind	fixed_pitch	key	length	pan_sweep	source	attack	decay	sustain	release
40	pulse_1	false	60	0	0	2	0	0	15	0
41	pulse_1	false	60	0	0	2	0	0	15	0
42	pulse_1	false	60	0	0	2	0	0	15	0
43	pulse_1	false	60	0	0	2	0	0	15	0
44	pulse_1	false	60	0	0	2	0	0	15	0
45	pcm	false	60	0	0	direct_sound_samples/sample_003.pcm8.wav	255	0	255	165
46	pcm	false	60	0	0	direct_sound_samples/sample_004.pcm8.wav	255	0	255	165
47	pcm	false	60	0	0	direct_sound_samples/sample_005.pcm8.wav	255	0	255	165
48	pcm	false	60	0	0	direct_sound_samples/sample_006.pcm8.wav	255	0	255	216
49	pulse_1	false	60	0	0	2	0	0	15	0
50	pulse_1	false	60	0	0	2	0	0	15	0
51	pulse_1	false	60	0	0	2	0	0	15	0
52	pcm	false	60	0	0	direct_sound_samples/sample_007.pcm8.wav	255	0	255	165
53	pulse_1	false	60	0	0	2	0	0	15	0
54	pulse_1	false	60	0	0	2	0	0	15	0
55	pulse_1	false	60	0	0	2	0	0	15	0
56	pcm	false	60	0	0	direct_sound_samples/sample_008.pcm8.wav	255	0	255	165
57	pulse_1	false	60	0	0	2	0	0	15	0
58	pulse_1	false	60	0	0	2	0	0	15	0
59	pulse_1	false	60	0	0	2	0	0	15	0
60	pulse_1	false	60	0	0	2	0	0	15	0
61	pcm	false	60	0	0	direct_sound_samples/sample_009.pcm8.wav	255	0	255	165
62	pulse_1	false	60	0	0	2	0	0	15	0
63	pulse_1	false	60	0	0	2	0	0	15	0
64	pulse_1	false	60	0	0	2	0	0	15	0
65	pulse_1	false	60	0	0	2	0	0	15	0
66	pulse_1	false	60	0	0	2	0	0	15	0
67	pulse_1	false	60	0	0	2	0	0	15	0
68	pcm	false	60	0	0	direct_sound_samples/sample_010.pcm8.wav	255	0	255	165
69	pulse_1	false	60	0	0	2	0	0	15	0
70	pulse_1	false	60	0	0	2	0	0	15	0
71	pulse_1	false	60	0	0	2	0	0	15	0
72	pcm	false	60	0	0	direct_sound_samples/sample_011.pcm8.wav	255	0	255	165
73	pcm	false	60	0	0	direct_sound_samples/sample_012.pcm8.wav	255	0	255	165
74	pulse_1	false	60	0	0	2	0	0	15	0
75	pcm	false	60	0	0	direct_sound_samples/sample_013.pcm8.wav	255	0	255	165
76	pulse_1	false	60	0	0	2	0	0	15	0
77	pulse_1	false	60	0	0	2	0	0	15	0
78	pulse_1	false	60	0	0	2	0	0	15	0
79	pulse_1	false	60	0	0	2	0	0	15	0
80	pcm	false	60	0	0	direct_sound_samples/sample_014.pcm8.wav	85	165	193	178
81	pcm	false	60	0	0	direct_sound_samples/sample_015.pcm8.wav	85	165	193	178
82	pcm	false	60	0	0	direct_sound_samples/sample_016.pcm8.wav	85	165	193	178
83	pcm	false	60	0	0	direct_sound_samples/sample_017.pcm8.wav	85	165	167	178
84	pcm	false	60	0	0	direct_sound_samples/sample_018.pcm8.wav	85	127	218	165
85	pcm	false	60	0	0	direct_sound_samples/sample_014.pcm8.wav	22	165	193	195
86	pcm	false	60	0	0	direct_sound_samples/sample_015.pcm8.wav	22	165	193	195
87	pcm	false	60	0	0	direct_sound_samples/sample_016.pcm8.wav	22	165	193	195
88	pcm	false	60	0	0	direct_sound_samples/sample_017.pcm8.wav	22	165	167	195
89	pcm	false	60	0	0	direct_sound_samples/sample_018.pcm8.wav	22	127	218	195
90	pcm	false	60	0	0	direct_sound_samples/sample_014.pcm8.wav	255	235	90	178
91	pcm	false	60	0	0	direct_sound_samples/sample_015.pcm8.wav	255	235	90	178
92	pcm	false	60	0	0	direct_sound_samples/sample_016.pcm8.wav	255	235	90	178
93	pcm	false	60	0	0	direct_sound_samples/sample_017.pcm8.wav	255	235	103	178
94	pcm	false	60	0	0	direct_sound_samples/sample_018.pcm8.wav	255	235	103	165
95	pcm	false	60	0	0	direct_sound_samples/sample_014.pcm8.wav	255	127	90	165
96	pcm	false	60	0	0	direct_sound_samples/sample_014.pcm8.wav	255	127	90	165
97	pcm	false	60	0	0	direct_sound_samples/sample_016.pcm8.wav	255	127	90	165
98	pcm	false	60	0	0	direct_sound_samples/sample_017.pcm8.wav	255	127	90	165
99	pcm	false	60	0	0	direct_sound_samples/sample_018.pcm8.wav	255	127	103	165
100	pulse_1	true	60	0	0	3	0	1	7	0
101	pulse_2	true	60	0	0	3	0	1	7	0
102	pulse_1	false	60	0	0	2	0	0	15	0
103	pulse_1	false	60	0	0	2	0	0	15	0
104	pulse_1	false	60	0	0	2	0	0	15	0
105	pcm	false	60	0	0	direct_sound_samples/sample_019.pcm8.wav	255	235	103	178
106	pcm	false	60	0	0	direct_sound_samples/sample_020.pcm8.wav	255	242	103	178
107	pcm	false	60	0	0	direct_sound_samples/sample_021.pcm8.wav	255	0	255	165
108	pcm	false	60	0	0	direct_sound_samples/sample_022.pcm8.wav	255	0	255	165
109	pcm	false	60	0	0	direct_sound_samples/sample_023.pcm8.wav	255	0	255	165
110	pcm	false	60	0	0	direct_sound_samples/sample_024.pcm8.wav	255	235	103	178
111	pcm	false	60	0	0	direct_sound_samples/sample_025.pcm8.wav	255	0	255	165
112	pcm	false	60	0	0	direct_sound_samples/sample_026.pcm8.wav	255	0	255	165
113	pcm	false	60	0	0	direct_sound_samples/sample_027.pcm8.wav	255	0	255	165
114	pcm	false	60	0	0	direct_sound_samples/sample_028.pcm8.wav	255	235	103	178
115	pulse_1	false	60	0	0	2	0	0	15	0
116	pcm	false	80	0	0	direct_sound_samples/sample_029.pcm8.wav	255	0	255	0
117	pulse_1	false	60	0	0	2	0	0	15	0
118	pulse_1	false	60	0	0	2	0	0	15	0
119	pulse_1	false	60	0	0	2	0	0	15	0
120	pulse_1	false	60	0	0	2	0	0	15	0
121	pulse_1	false	60	0	0	2	0	0	15	0
122	pulse_1	false	60	0	0	2	0	0	15	0
123	pulse_1	false	60	0	0	2	0	0	15	0
124	pulse_1	false	60	0	0	2	0	0	15	0
125	pulse_1	false	60	0	0	2	0	0	15	0
126	pulse_1	false	60	0	0	2	0	0	15	0
127	rhythm	false	0	0	0	rhythm_table_0x81c3b70	0	0	0	0
128	pcm	false	60	0	192	direct_sound_samples/sample_030.pcm8.wav	255	0	255	165
129	pcm	true	60	0	192	direct_sound_samples/sample_031.pcm8.wav	255	0	255	216
130	pcm	false	60	0	197	direct_sound_samples/sample_032.pcm8.wav	255	0	255	165
131	pcm	true	60	0	197	direct_sound_samples/sample_033.pcm8.wav	255	0	255	216
132	pcm	true	60	0	192	direct_sound_samples/sample_034.pcm8.wav	255	0	255	216
133	pcm	true	60	0	197	direct_sound_samples/sample_035.pcm8.wav	255	0	255	216
134	pcm	false	50	0	152	direct_sound_samples/sample_036.pcm8.wav	255	0	255	216
135	pcm	true	60	0	202	direct_sound_samples/sample_037.pcm8.wav	128	0	255	216
136	pcm	false	55	0	172	direct_sound_samples/sample_036.pcm8.wav	255	0	255	216
137	pcm	true	60	0	192	direct_sound_samples/sample_036.pcm8.wav	255	0	255	216
138	pcm	true	60	0	192	direct_sound_samples/sample_036.pcm8.wav	255	0	255	216
139	pcm	true	60	0	202	direct_sound_samples/sample_038.pcm8.wav	255	0	255	165
140	pcm	true	60	0	192	direct_sound_samples/sample_036.pcm8.wav	255	0	255	216
141	pcm	false	65	0	212	direct_sound_samples/sample_036.pcm8.wav	255	0	255	216
142	pcm	true	60	0	202	direct_sound_samples/sample_039.pcm8.wav	255	252	0	165
143	pcm	false	70	0	232	direct_sound_samples/sample_036.pcm8.wav	255	0	255	216
144	pcm	true	60	0	172	direct_sound_samples/sample_040.pcm8.wav	255	249	0	165
