stem	best_diff	size	best_flags	was
0808fe38	19	126/120	-mgrouped-dma-store	49
080fb2a4	19	36/40	-mentry-low-register-order	20
0801ea3c	22	160/160	-fno-cse-two-insn-immediate,-fsched-low-dest-first	23
08020198	22	168/172	BASE	22
080a22f4	22	52/48	BASE	22
080a2324	22	156/156	-fno-cse-two-insn-immediate,-fno-sched-depend-count	23
080170c4	23	48/52	-fno-cse-two-insn-immediate,-fno-sched-depend-count	24
0801fd34	23	84/80	-fno-cse-two-insn-immediate,-fsched-store-first	24
080788c4	23	132/132	BASE	23
08003fa4	24	152/152	-fsched-low-dest-first,-fno-sched-alias	25
080049ac	24	64/60	-fno-regmove,-fno-schedule-insns2	28
080175c0	24	88/96	-mthumb-immediate-latency	33
080a3354	24	126/128	BASE	24
080a3ddc	24	78/76	BASE	25
080bd7a4	24	36/56	-mgrouped-dma-store	27
080165d8	25	150/150	-fno-gcse	35
080949a8	25	288/288	-mgrouped-dma-store	60
080a7380	25	192/192	BASE	25
080b0840	25	88/84	-mentry-low-register-order	29
080c00d8	25	88/88	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fsched-low-dest-first	35
080cd358	25	192/192	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	79
080a1f74	26	96/96	BASE	26
080907b0	27	116/116	BASE	27
080a8914	27	508/508	BASE	27
0800447c	28	76/84	BASE	28
08004bd4	28	76/72	-fno-sched-alias	29
08004c6c	28	76/72	-fno-cse-two-insn-immediate,-fno-sched-alias	29
08016178	28	184/184	BASE	28
08019854	28	136/136	-mentry-low-register-order	59
080936a0	28	112/112	-fno-sched-depend-count	30
080bac6c	28	124/124	BASE	28
080cd52c	28	104/104	-fno-regmove,-fno-schedule-insns2	30
08004cb4	29	64/60	-mthumb-early-literal-pool	31
08004cf0	29	64/60	-mthumb-early-literal-pool	31
080c1ebc	29	148/148	-fno-cse-two-insn-immediate,-fno-sched-depend-count	30
08006408	30	80/80	-fno-cse-follow-jumps	40
08004c1c	31	84/80	-fno-sched-depend-count	32
080d6750	31	138/138	-mthumb-immediate-latency	37
08005584	32	80/84	-mgrouped-dma-store	37
08078e28	32	164/164	-mthumb-load-latency-one	35
080a46b4	32	152/160	-fno-expensive-optimizations	37
080b0a20	32	56/74	BASE	32
080fa16c	32	68/64	-fno-canonicalize-comparison	36
0800543c	33	80/84	-mgrouped-dma-store	38
08005490	33	80/84	-mgrouped-dma-store	38
080055d8	33	80/84	-mgrouped-dma-store	38
080063bc	33	74/76	-mthumb-early-literal-pool	40
0800bb20	33	160/160	-fno-regmove,-fno-schedule-insns2	36
0800651c	34	72/64	-fno-cse-two-insn-immediate,-fsched-store-first	35
080a448c	34	320/320	-fno-rerun-cse-after-loop	143
080c0cec	34	264/264	-fsched-low-dest-first	40
080e727c	34	92/98	-mthumb-early-literal-pool	37
080f0254	34	88/92	-mgrouped-dma-store	41
08078708	35	212/212	BASE	35
080bd850	35	52/72	BASE	35
080f9438	35	142/142	-mthumb-early-literal-pool	39
080937b8	37	184/186	BASE	39
0800fac8	39	120/112	-mentry-low-register-order	40
080167e0	39	136/136	BASE	39
08097868	39	104/92	-mthumb-early-literal-pool	46
08004144	41	64/84	BASE	41
08011f54	41	132/132	-fno-expensive-optimizations	45
08015f30	41	136/136	-mgrouped-dma-store	59
080a77a4	41	168/170	-mentry-low-register-order	76
080f377c	41	108/112	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fsched-low-dest-first	48
08028808	44	160/160	-mthumb-early-literal-pool	44
08015fb8	46	84/96	BASE	46
0808a5f8	46	236/236	BASE	65
080c0f98	46	120/122	BASE	46
080160fc	47	124/124	BASE	47
0808d394	47	148/148	-fno-rerun-cse-after-loop	63
08003e58	48	124/124	-fno-regmove,-fno-schedule-insns2	50
0808b320	48	104/120	-fno-expensive-optimizations	51
080d66cc	48	136/132	-fno-expensive-optimizations	49
0801edec	49	116/124	-mgrouped-dma-store	54
08079b24	49	160/160	-fno-gcse	72
080b1dec	49	140/148	-fno-rerun-cse-after-loop	51
08010560	50	112/116	-fno-gcse	51
080e7338	50	54/102	BASE	50
08091f14	51	124/124	-mentry-low-register-order	61
080a2144	51	116/108	-mthumb-early-literal-pool	54
080a9c18	51	162/162	-fno-gcse	67
08012388	52	80/108	-fno-regmove,-fno-schedule-insns2	53
0807a3a8	53	168/176	-fno-expensive-optimizations	85
080c9048	53	164/156	-fno-cse-pool-immediate	58
0808b158	54	120/128	-fno-rerun-cse-after-loop	57
0808b98c	54	116/108	-fno-regmove,-fno-schedule-insns2	56
08094154	54	136/138	-fno-regmove,-fno-schedule-insns2	56
080113e4	55	188/188	BASE	63
08011590	55	184/180	-fno-cse-two-insn-immediate,-fno-sched-depend-count	57
0801c8a0	55	124/132	-fno-gcse	62
080a1a40	55	112/126	-fno-cse-pool-immediate	62
080b6c08	55	132/136	-fno-gcse	74
0801868c	56	260/260	BASE	56
0808ddec	56	304/304	-fno-expensive-optimizations	78
080f60a0	56	176/168	-mthumb-early-literal-pool	58
08021848	57	144/148	-fno-regmove,-fno-schedule-insns2	60
080a8c2c	57	144/148	-fno-regmove,-fno-schedule-insns2	58
080b5b18	58	236/240	-fno-cse-two-insn-immediate,-fsched-store-first	95
080b60a0	58	160/166	BASE	59
080c0228	59	120/112	-fno-expensive-optimizations	63
08006a78	60	74/128	-fno-cse-pool-immediate	62
08016f2c	60	208/216	BASE	60
08019000	60	140/140	BASE	62
080a9598	60	320/320	-fno-expensive-optimizations	82
0800bbc0	61	120/134	BASE	62
080292c4	61	200/200	BASE	73
08099838	62	236/232	BASE	62
0809b86c	62	128/136	-fthumb-minipool-tail-first	63
080f95f0	62	128/132	BASE	62
0800fec8	64	140/140	-mentry-low-register-order	64
0807a7a0	64	134/136	-mthumb-early-literal-pool	67
080a19a0	64	152/160	-fno-gcse	73
08010704	65	148/132	-mthumb-early-literal-pool	69
08092f84	65	160/188	BASE	65
08006910	66	132/148	-fno-gcse	70
080a602c	66	180/168	-fno-gcse	67
0800ff54	67	172/172	BASE	68
080bad7c	67	186/194	-fno-gcse	87
0807a0f4	68	188/192	BASE	68
08006af8	69	112/140	-fno-regmove,-fno-schedule-insns2	71
0800c004	69	190/194	-mgrouped-dma-store	96
080164d4	69	142/150	-mearly-frame-allocation	70
0801bd98	69	220/232	-fno-expensive-optimizations	87
08095680	70	248/248	BASE	70
080983a0	70	288/288	BASE	70
080a1d08	72	290/302	-fno-cse-pool-immediate	80
080b08b8	74	140/160	-fno-cse-two-insn-immediate,-fsched-store-first	76
080cdb24	74	146/154	-fno-cse-two-insn-immediate,-fno-sched-depend-count	75
0800ba30	75	164/154	-fno-regmove	82
08011644	76	246/248	-fno-cse-two-insn-immediate,-fsched-store-first	100
080798e0	77	212/208	-fno-regmove,-fno-schedule-insns2	78
080f6148	77	148/160	BASE	77
080b5a0c	78	200/200	-fno-rerun-cse-after-loop,-fno-cse-two-insn-immediate	92
0809b208	79	352/348	-fno-regmove,-fno-schedule-insns2	108
0800479c	81	176/156	-fno-regmove,-fno-schedule-insns2	83
0801e318	82	168/176	-fno-cse-pool-immediate	85
08005fcc	84	168/186	-mpreserve-single-bit-test	111
0808df1c	84	348/348	-fno-expensive-optimizations	87
080c0be4	84	264/264	-mthumb-immediate-latency	106
0801a5a4	85	188/200	-fno-cse-two-insn-immediate,-fsched-store-first	94
0800b074	87	234/242	BASE	87
080114a0	89	184/200	-fno-regmove	92
080e46f0	89	184/200	-fno-strength-reduce	96
08093af8	90	264/264	-fno-expensive-optimizations	95
08010d48	92	196/204	BASE	95
0808f1c0	92	196/204	-mthumb-immediate-latency	97
080b5864	93	244/248	-mthumb-load-latency-one	95
080aad10	95	252/260	-fno-cse-two-insn-immediate,-fsched-store-first	114
08012e28	97	248/248	BASE	97
0808b090	97	180/200	-fno-cse-pool-immediate	99
080bb65c	97	356/356	-fno-expensive-optimizations	150
08090488	98	260/250	-fno-expensive-optimizations	102
080f02b0	99	214/204	-fno-cse-two-insn-immediate,-fsched-high-dest-first	100
0808e14c	100	236/240	-fno-gcse	113
080f0538	100	224/220	BASE	100
080ccaec	102	196/240	BASE	102
08017248	105	278/282	-fno-regmove	125
080a15f0	105	308/316	-mentry-low-register-order	141
08021390	107	228/248	-fno-gcse	109
080ad40c	111	256/252	-fno-rerun-cse-after-loop	113
080cd260	111	256/248	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fsched-low-dest-first	117
0808d48c	112	256/260	BASE	112
080b9dc4	113	232/252	-fno-strength-reduce	125
080b920c	114	268/278	-fno-regmove,-fno-schedule-insns2	118
0808bb2c	115	280/280	-mthumb-load-latency-one	122
0808ba38	118	260/244	-fno-gcse	130
080a1ac0	118	272/266	-fno-expensive-optimizations	127
08097194	119	240/248	BASE	119
080ac8fc	120	260/264	-mpreserve-single-bit-test	124
0801ef68	122	288/288	-mpreserve-single-bit-test	126
080a4800	123	288/292	-fno-expensive-optimizations	139
080cdd58	123	302/310	-fno-cse-two-insn-immediate,-fsched-store-first	129
08019bfc	126	264/272	-fno-regmove	128
0808ace0	128	276/272	-mthumb-immediate-latency	130
080b29a8	128	368/360	-fno-expensive-optimizations	166
080105d4	129	280/304	-fno-cse-two-insn-immediate,-fno-sched-depend-count	132
08021488	132	344/344	-mhigh-register-move-first	133
080a5b94	132	290/300	-mentry-low-register-order	144
0801908c	134	312/320	-fno-cse-pool-immediate	146
0801dd28	135	308/308	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	147
08010424	136	304/316	-fno-expensive-optimizations	140
08010788	136	292/316	-fno-cse-two-insn-immediate,-fno-sched-depend-count	139
08097384	136	280/264	-fno-schedule-insns2	138
0808e4b4	137	276/292	-fno-cse-pool-immediate	139
080aae14	137	320/324	-fno-regmove	140
08021228	138	284/312	-fno-regmove,-fno-schedule-insns2	141
080a524c	139	304/316	-fno-expensive-optimizations	147
0801a66c	140	292/268	-mentry-low-register-order	145
080162d4	142	298/280	-mpreserve-single-bit-test	155
0801b248	142	280/292	-fno-gcse	144
080b9324	142	356/332	BASE	145
0802977c	143	412/404	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fsched-high-dest-first	184
080b0fa4	144	322/296	-mthumb-immediate-latency	150
0801a7f4	147	324/282	BASE	147
08090658	147	350/344	-fno-expensive-optimizations	155
080056cc	148	316/322	BASE	148
080228e4	148	328/340	-fthumb-hoist-parameter-save	149
0800bc70	152	356/356	-fno-regmove	155
080901c0	154	432/440	-fno-expensive-optimizations	198
08012b2c	155	496/500	-fno-strength-reduce	203
08029094	155	344/334	-fno-regmove,-fno-schedule-insns2	156
0802938c	156	316/326	-fno-cse-pool-immediate	161
080b0278	157	460/460	-fno-gcse	221
08028c04	162	364/368	BASE	176
080cc960	162	384/396	-fno-expensive-optimizations	167
080b8c1c	167	396/412	-fno-rerun-cse-after-loop	170
0808f32c	173	368/364	-mthumb-load-latency-one	174
080a7850	173	482/482	-fno-gcse	200
080f2f10	179	380/360	-fno-regmove,-fno-schedule-insns2	183
0809bb64	182	378/368	-fno-strength-reduce	183
0809a484	186	468/472	-mthumb-early-literal-pool	204
080908e0	188	404/380	-fno-cse-follow-jumps	201
080b8574	189	400/376	-fno-expensive-optimizations	190
080a24d0	192	424/432	-fno-rerun-cse-after-loop,-fno-cse-two-insn-immediate	204
0801db70	193	452/440	-mpreserve-single-bit-test	209
08094820	193	404/392	-fno-cse-pool-immediate	199
080a5388	193	424/428	-fno-cse-pool-immediate	205
080178b0	195	424/436	-fno-gcse	237
0800c880	197	424/428	-fno-cse-two-insn-immediate,-fno-sched-depend-count	201
080b5368	207	464/460	BASE	227
080912b8	218	458/474	-fno-schedule-insns2	223
08094bbc	224	496/484	-fno-expensive-optimizations	258
0808e9c0	229	608/596	-fno-gcse	284
0809c138	233	526/476	-fno-cse-two-insn-immediate	252
08018cac	237	590/590	-mthumb-and-sets-cc	283
0801b664	238	490/428	-fno-strength-reduce	241
0801b810	242	488/408	-fno-gcse	246
08077d38	243	436/520	-fno-regmove,-fno-schedule-insns2	254
0800b168	245	506/544	-fno-sched-depend-count	250
0809ae64	251	588/588	-fno-cse-two-insn-immediate,-fno-sched-depend-count	265
0801a088	253	562/540	-mpreserve-single-bit-test	274
080ba978	280	612/612	-fno-gcse	296
080dc1ec	283	632/616	-fthumb-hoist-parameter-save	285
080f07f0	287	560/620	-fno-gcse	297
0808e23c	296	636/632	-fno-regmove,-fno-schedule-insns2	305
080ccc38	306	624/644	-fno-expensive-optimizations	309
080ba2c0	327	712/708	-fno-gcse	357
080999f0	339	784/808	-fno-cse-two-insn-immediate,-fno-sched-depend-count	367
080cd86c	344	724/696	-fno-regmove,-fno-schedule-insns2	362
08098cd8	363	836/832	-fno-cse-pool-immediate	373
080cd594	365	768/728	-fno-regmove,-fno-schedule-insns2	380
080a5cc0	368	798/798	-fno-rerun-cse-after-loop	381
080cc5d8	382	840/904	-fno-cse-two-insn-immediate,-fno-sched-depend-count	384
08097c3c	385	848/836	-fno-gcse	408
08097c3c	388	848/836	-fno-gcse	408
080a414c	402	876/832	-fno-gcse	418
080a414c	408	888/832	-fno-gcse	418
